x,y,z,g,wa,wr
123.0,79.0,131.0,103,0.0,90
124.0,79.0,120.0,89,-1.0,90
126.0,78.0,116.0,84,-1.0,90
127.0,77.0,113.0,81,-2.0,90
128.0,76.0,111.0,78,-2.0,90
129.0,76.0,110.0,77,-2.0,90
129.0,83.0,109.0,76,-1.0,90
127.0,98.0,108.0,76,0.0,90
120.0,115.0,108.0,76,0.0,90
112.0,130.0,107.0,76,-1.0,90
104.0,145.0,106.0,77,-3.0,90
96.0,158.0,105.0,77,-4.0,90
90.0,169.0,103.0,78,-3.0,90
84.0,175.0,101.0,77,-2.0,90
79.0,179.0,98.0,77,1.0,90
74.0,183.0,96.0,76,3.0,90
68.0,184.0,94.0,76,5.0,90
62.0,185.0,93.0,77,6.0,90
50.0,184.0,92.0,78,8.0,90
40.0,184.0,92.0,79,8.0,90
27.0,184.0,91.0,80,9.0,90
19.0,184.0,91.0,82,10.0,90
15.0,184.0,91.0,84,11.0,90
13.0,183.0,91.0,85,12.0,90
19.0,182.0,90.0,85,12.0,90
25.0,179.0,90.0,86,11.0,90
26.0,174.0,90.0,87,9.0,90
27.0,171.0,89.0,88,5.0,90
29.0,168.0,89.0,89,0.0,90
29.0,167.0,89.0,92,-3.0,90
26.0,167.0,88.0,94,-5.0,90
25.0,166.0,88.0,95,-6.0,90
27.0,166.0,88.0,96,-5.0,90
30.0,166.0,88.0,95,-5.0,90
38.0,167.0,88.0,93,-7.0,90
46.0,168.0,88.0,92,-10.0,90
50.0,168.0,87.0,91,-13.0,90
53.0,168.0,87.0,90,-19.0,90
59.0,164.0,87.0,89,-26.0,90
61.0,157.0,88.0,89,-35.0,90
62.0,151.0,88.0,89,-42.0,90
58.0,145.0,89.0,90,-46.0,90
55.0,139.0,89.0,90,-49.0,90
54.0,132.0,89.0,91,-51.0,90
54.0,122.0,89.0,92,-52.0,90
55.0,109.0,89.0,92,-53.0,90
55.0,98.0,89.0,92,-55.0,90
56.0,90.0,90.0,92,-56.0,90
57.0,84.0,91.0,92,-56.0,90
57.0,79.0,92.0,93,-57.0,90
56.0,78.0,94.0,94,-57.0,90
56.0,78.0,95.0,95,-58.0,90
55.0,79.0,96.0,96,-57.0,90
54.0,79.0,96.0,97,-57.0,90
54.0,79.0,97.0,97,-57.0,90
56.0,79.0,97.0,97,-56.0,90
57.0,80.0,98.0,97,-56.0,90
59.0,80.0,98.0,97,-55.0,90
65.0,82.0,98.0,96,-55.0,90
68.0,84.0,98.0,94,-54.0,90
69.0,86.0,97.0,93,-54.0,90
70.0,87.0,96.0,91,-53.0,90
76.0,89.0,96.0,89,-52.0,90
85.0,93.0,94.0,84,-51.0,90
89.0,96.0,88.0,77,-51.0,90
90.0,97.0,83.0,69,-51.0,90
91.0,98.0,78.0,63,-50.0,90
88.0,98.0,74.0,57,-50.0,90
79.0,98.0,71.0,52,-48.0,90
73.0,99.0,70.0,49,-46.0,90
72.0,100.0,69.0,47,-43.0,90
71.0,102.0,69.0,44,-40.0,90
66.0,104.0,69.0,40,-36.0,90
59.0,110.0,68.0,37,-30.0,90
47.0,117.0,69.0,35,-19.0,90
39.0,118.0,69.0,34,-11.0,90
32.0,121.0,69.0,33,-4.0,90
26.0,126.0,70.0,32,3.0,90
25.0,130.0,70.0,32,7.0,90
25.0,132.0,70.0,31,10.0,90
26.0,136.0,71.0,33,11.0,90
28.0,140.0,71.0,37,13.0,90
27.0,143.0,72.0,41,14.0,90
28.0,145.0,72.0,43,14.0,90
31.0,147.0,73.0,46,14.0,90
31.0,147.0,76.0,57,15.0,90
32.0,141.0,81.0,73,13.0,90
35.0,141.0,84.0,89,11.0,90
36.0,143.0,87.0,102,10.0,90
32.0,143.0,90.0,112,10.0,90
31.0,144.0,91.0,121,10.0,90
30.0,144.0,93.0,130,10.0,90
30.0,144.0,94.0,137,11.0,90
31.0,145.0,95.0,140,12.0,90
34.0,145.0,95.0,140,12.0,90
35.0,145.0,95.0,140,12.0,90
35.0,145.0,96.0,140,12.0,90
34.0,145.0,96.0,141,12.0,90
34.0,145.0,96.0,142,11.0,90
34.0,145.0,96.0,145,9.0,90
33.0,144.0,96.0,148,7.0,90
34.0,143.0,96.0,150,6.0,90
34.0,142.0,96.0,152,4.0,90
33.0,141.0,96.0,153,2.0,90
35.0,140.0,96.0,154,1.0,90
40.0,140.0,96.0,151,0.0,90
43.0,140.0,96.0,147,-2.0,90
50.0,140.0,96.0,142,-4.0,90
53.0,140.0,96.0,135,-5.0,90
53.0,139.0,96.0,127,-7.0,90
54.0,138.0,96.0,119,-8.0,90
54.0,137.0,96.0,110,-9.0,90
52.0,137.0,96.0,101,-10.0,90
48.0,136.0,95.0,92,-11.0,90
46.0,135.0,95.0,83,-11.0,90
42.0,135.0,94.0,74,-11.0,90
39.0,134.0,94.0,66,-11.0,90
36.0,134.0,93.0,59,-11.0,90
33.0,134.0,92.0,54,-10.0,90
34.0,133.0,92.0,49,-9.0,90
35.0,132.0,91.0,44,-9.0,90
34.0,131.0,90.0,39,-10.0,90
35.0,129.0,89.0,35,-11.0,90
36.0,127.0,88.0,33,-13.0,90
35.0,127.0,88.0,32,-13.0,90
34.0,126.0,88.0,31,-14.0,90
39.0,125.0,87.0,32,-14.0,90
47.0,124.0,87.0,35,-13.0,90
52.0,123.0,87.0,40,-11.0,90
55.0,123.0,87.0,46,-9.0,90
56.0,122.0,88.0,51,-8.0,90
54.0,122.0,88.0,55,-7.0,90
52.0,122.0,89.0,58,-7.0,90
49.0,127.0,89.0,60,-7.0,90
44.0,142.0,89.0,62,-8.0,90
42.0,156.0,88.0,64,-11.0,90
36.0,172.0,88.0,67,-15.0,90
34.0,182.0,89.0,71,-18.0,90
34.0,185.0,90.0,74,-20.0,90
36.0,184.0,91.0,77,-21.0,90
38.0,184.0,92.0,78,-21.0,90
39.0,184.0,92.0,79,-22.0,90
39.0,184.0,92.0,79,-21.0,90
39.0,184.0,93.0,79,-20.0,90
38.0,185.0,93.0,80,-16.0,90
38.0,186.0,94.0,80,-9.0,90
38.0,187.0,94.0,80,1.0,90
38.0,188.0,94.0,81,7.0,90
38.0,188.0,94.0,82,11.0,90
39.0,188.0,94.0,83,14.0,90
40.0,189.0,94.0,83,14.0,90
42.0,189.0,94.0,84,13.0,90
44.0,189.0,95.0,85,11.0,90
44.0,189.0,95.0,85,10.0,90
44.0,189.0,95.0,86,9.0,90
48.0,178.0,96.0,87,10.0,90
49.0,148.0,99.0,88,16.0,90
52.0,125.0,102.0,89,24.0,90
56.0,113.0,104.0,89,28.0,90
57.0,106.0,105.0,89,29.0,90
57.0,102.0,107.0,90,29.0,90
57.0,98.0,108.0,91,28.0,90
56.0,95.0,109.0,93,27.0,90
57.0,92.0,110.0,95,24.0,90
53.0,82.0,111.0,97,18.0,90
51.0,72.0,112.0,99,9.0,90
52.0,68.0,112.0,102,1.0,90
53.0,68.0,112.0,104,-4.0,90
53.0,67.0,113.0,105,-7.0,90
52.0,67.0,113.0,106,-10.0,90
54.0,66.0,113.0,107,-12.0,90
59.0,67.0,113.0,107,-14.0,90
71.0,81.0,112.0,108,-13.0,90
77.0,101.0,111.0,110,-11.0,90
86.0,110.0,109.0,114,-8.0,90
94.0,113.0,108.0,119,-5.0,90
97.0,113.0,107.0,123,-3.0,90
99.0,112.0,106.0,127,-2.0,90
100.0,111.0,105.0,129,-1.0,90
100.0,110.0,105.0,131,-2.0,90
97.0,105.0,105.0,133,-6.0,90
92.0,99.0,105.0,133,-14.0,90
91.0,93.0,106.0,136,-20.0,90
86.0,89.0,106.0,138,-26.0,90
83.0,87.0,106.0,140,-31.0,90
84.0,83.0,107.0,142,-36.0,90
86.0,79.0,107.0,143,-39.0,90
87.0,78.0,107.0,143,-42.0,90
89.0,77.0,107.0,143,-44.0,90
90.0,77.0,107.0,143,-44.0,90
92.0,76.0,107.0,142,-45.0,90
93.0,76.0,107.0,142,-45.0,90
93.0,76.0,107.0,141,-45.0,90
94.0,75.0,107.0,141,-45.0,90
96.0,74.0,107.0,141,-44.0,90
98.0,74.0,107.0,140,-44.0,90
104.0,74.0,107.0,140,-43.0,90
110.0,73.0,107.0,138,-39.0,90
113.0,73.0,107.0,136,-33.0,90
113.0,72.0,107.0,133,-29.0,90
114.0,72.0,106.0,130,-25.0,90
116.0,73.0,106.0,128,-22.0,90
116.0,74.0,105.0,125,-19.0,90
109.0,74.0,104.0,122,-16.0,90
99.0,75.0,104.0,118,-14.0,90
92.0,75.0,104.0,112,-14.0,90
89.0,74.0,103.0,106,-15.0,90
87.0,72.0,103.0,100,-17.0,90
81.0,69.0,102.0,95,-19.0,90
77.0,67.0,102.0,90,-22.0,90
73.0,66.0,102.0,86,-24.0,90
66.0,66.0,101.0,82,-25.0,90
60.0,65.0,101.0,77,-24.0,90
50.0,64.0,101.0,71,-24.0,90
39.0,68.0,100.0,68,-22.0,90
37.0,75.0,98.0,65,-20.0,90
36.0,82.0,96.0,63,-18.0,90
36.0,87.0,95.0,62,-16.0,90
39.0,89.0,94.0,62,-15.0,90
44.0,91.0,94.0,62,-14.0,90
48.0,94.0,94.0,62,-13.0,90
52.0,100.0,93.0,62,-12.0,90
54.0,107.0,94.0,62,-11.0,90
55.0,110.0,94.0,62,-11.0,90
54.0,112.0,94.0,62,-11.0,90
53.0,113.0,93.0,62,-11.0,90
52.0,114.0,93.0,62,-11.0,90
52.0,114.0,93.0,61,-11.0,90
53.0,115.0,93.0,61,-11.0,90
55.0,116.0,93.0,61,-11.0,90
56.0,119.0,92.0,60,-11.0,90
57.0,122.0,91.0,59,-11.0,90
57.0,126.0,90.0,57,-10.0,90
60.0,128.0,88.0,55,-10.0,90
65.0,130.0,85.0,54,-10.0,90
68.0,131.0,83.0,53,-10.0,90
68.0,131.0,80.0,51,-10.0,90
69.0,130.0,77.0,50,-11.0,90
70.0,129.0,75.0,49,-11.0,90
70.0,129.0,74.0,49,-11.0,90
70.0,128.0,73.0,48,-12.0,90
70.0,127.0,72.0,47,-12.0,90
69.0,125.0,71.0,46,-13.0,90
