x,y,z,g,wa,wr
59.0,188.0,76.0,134,-13.0,90
55.0,188.0,75.0,132,-12.0,90
54.0,189.0,75.0,131,-12.0,90
56.0,189.0,75.0,130,-11.0,90
65.0,188.0,75.0,129,-11.0,90
73.0,184.0,74.0,128,-12.0,90
78.0,176.0,73.0,127,-13.0,90
83.0,172.0,72.0,126,-14.0,90
90.0,169.0,71.0,125,-15.0,90
87.0,168.0,71.0,123,-17.0,90
81.0,167.0,71.0,120,-17.0,90
74.0,167.0,71.0,116,-17.0,90
69.0,167.0,71.0,114,-17.0,90
68.0,166.0,71.0,115,-18.0,90
70.0,155.0,71.0,117,-20.0,90
71.0,136.0,72.0,119,-23.0,90
72.0,121.0,74.0,119,-26.0,90
75.0,112.0,75.0,118,-30.0,90
77.0,107.0,76.0,117,-33.0,90
80.0,104.0,76.0,116,-35.0,90
79.0,101.0,76.0,115,-38.0,90
80.0,98.0,76.0,115,-43.0,90
82.0,97.0,76.0,116,-48.0,90
81.0,95.0,76.0,116,-51.0,90
83.0,94.0,75.0,115,-57.0,90
77.0,94.0,75.0,128,-67.0,90
77.0,93.0,75.0,143,-74.0,90
77.0,93.0,74.0,152,-80.0,90
78.0,93.0,74.0,159,-83.0,90
81.0,92.0,74.0,165,-86.0,90
91.0,92.0,74.0,170,-88.0,90
94.0,92.0,74.0,173,-88.0,90
99.0,91.0,73.0,175,-89.0,90
107.0,91.0,73.0,177,-89.0,90
112.0,90.0,73.0,178,-90.0,90
113.0,89.0,73.0,178,-89.0,90
110.0,87.0,72.0,171,-87.0,90
104.0,86.0,71.0,162,-83.0,90
108.0,86.0,71.0,153,-76.0,90
104.0,86.0,71.0,146,-69.0,90
102.0,86.0,70.0,134,-64.0,90
101.0,86.0,70.0,117,-59.0,90
99.0,86.0,70.0,104,-56.0,90
97.0,86.0,70.0,93,-54.0,90
97.0,85.0,70.0,86,-53.0,90
96.0,84.0,70.0,84,-52.0,90
96.0,84.0,71.0,82,-52.0,90
95.0,84.0,71.0,82,-52.0,90
92.0,84.0,71.0,81,-52.0,90
85.0,84.0,72.0,82,-52.0,90
79.0,85.0,72.0,84,-53.0,90
77.0,88.0,72.0,92,-55.0,90
78.0,93.0,73.0,104,-56.0,90
77.0,94.0,73.0,109,-56.0,90
79.0,96.0,74.0,112,-56.0,90
81.0,96.0,74.0,113,-56.0,90
86.0,96.0,74.0,113,-55.0,90
86.0,96.0,74.0,114,-55.0,90
85.0,97.0,74.0,116,-54.0,90
84.0,99.0,74.0,120,-51.0,90
83.0,101.0,74.0,124,-48.0,90
83.0,102.0,74.0,127,-46.0,90
84.0,103.0,75.0,128,-45.0,90
84.0,103.0,75.0,126,-43.0,90
84.0,103.0,75.0,124,-41.0,90
85.0,103.0,75.0,121,-40.0,90
88.0,103.0,75.0,120,-40.0,90
89.0,103.0,75.0,119,-40.0,90
93.0,103.0,75.0,116,-40.0,90
95.0,102.0,75.0,114,-41.0,90
99.0,100.0,75.0,112,-41.0,90
100.0,97.0,75.0,110,-42.0,90
100.0,95.0,75.0,107,-44.0,90
98.0,93.0,74.0,105,-46.0,90
96.0,92.0,74.0,102,-50.0,90
94.0,91.0,74.0,101,-54.0,90
91.0,90.0,73.0,99,-58.0,90
88.0,90.0,73.0,99,-61.0,90
86.0,90.0,73.0,100,-64.0,90
83.0,90.0,73.0,104,-66.0,90
80.0,89.0,73.0,107,-67.0,90
74.0,90.0,73.0,109,-65.0,90
67.0,92.0,72.0,112,-60.0,90
65.0,95.0,72.0,114,-53.0,90
63.0,98.0,73.0,116,-47.0,90
64.0,100.0,73.0,115,-40.0,90
67.0,101.0,74.0,115,-34.0,90
70.0,101.0,74.0,115,-29.0,90
76.0,102.0,75.0,118,-23.0,90
78.0,102.0,76.0,122,-23.0,90
79.0,101.0,76.0,131,-26.0,90
77.0,101.0,76.0,137,-32.0,90
70.0,100.0,77.0,146,-40.0,90
64.0,99.0,77.0,154,-48.0,90
62.0,98.0,77.0,160,-56.0,90
60.0,98.0,77.0,165,-63.0,90
60.0,98.0,77.0,168,-68.0,90
61.0,97.0,77.0,173,-70.0,90
68.0,97.0,77.0,176,-70.0,90
77.0,96.0,77.0,177,-64.0,90
79.0,98.0,77.0,178,-55.0,90
78.0,100.0,77.0,173,-48.0,90
78.0,100.0,77.0,161,-43.0,90
78.0,101.0,77.0,142,-39.0,90
78.0,101.0,77.0,132,-38.0,90
78.0,101.0,77.0,119,-36.0,90
79.0,101.0,77.0,109,-35.0,90
78.0,101.0,77.0,103,-35.0,90
78.0,101.0,77.0,100,-35.0,90
77.0,101.0,77.0,97,-35.0,90
75.0,100.0,77.0,96,-35.0,90
74.0,100.0,77.0,95,-35.0,90
73.0,100.0,77.0,95,-35.0,90
70.0,99.0,77.0,95,-35.0,90
70.0,98.0,77.0,95,-36.0,90
67.0,96.0,77.0,95,-36.0,90
65.0,91.0,76.0,95,-37.0,90
66.0,83.0,76.0,95,-38.0,90
68.0,78.0,76.0,96,-40.0,90
67.0,75.0,75.0,96,-42.0,90
66.0,75.0,75.0,100,-45.0,90
64.0,75.0,75.0,112,-49.0,90
64.0,77.0,74.0,124,-52.0,90
64.0,80.0,74.0,133,-55.0,90
65.0,81.0,74.0,139,-56.0,90
66.0,81.0,73.0,144,-56.0,90
68.0,81.0,73.0,146,-56.0,90
73.0,82.0,73.0,148,-55.0,90
81.0,86.0,73.0,147,-53.0,90
92.0,89.0,72.0,140,-52.0,90
97.0,89.0,70.0,134,-51.0,90
97.0,85.0,68.0,129,-50.0,90
95.0,84.0,66.0,125,-50.0,90
89.0,85.0,65.0,126,-50.0,90
79.0,85.0,64.0,131,-51.0,90
71.0,87.0,64.0,137,-52.0,90
70.0,89.0,64.0,142,-52.0,90
69.0,93.0,65.0,142,-51.0,90
67.0,97.0,67.0,136,-49.0,90
65.0,103.0,71.0,127,-47.0,90
67.0,110.0,75.0,122,-46.0,90
67.0,115.0,78.0,120,-44.0,90
66.0,116.0,81.0,113,-42.0,90
67.0,117.0,83.0,93,-37.0,90
69.0,118.0,84.0,77,-34.0,90
75.0,119.0,85.0,65,-31.0,90
78.0,120.0,85.0,57,-30.0,90
85.0,120.0,86.0,66,-31.0,90
